"id;title;artist;genre;mood;description"
"1;Happy;Pharrell Williams;Pop;ALEGRIA;Canción alegre y optimista que encaja con textos positivos"
"2;Don’t Stop Me Now;Queen;Rock;ALEGRIA;Canción enérgica y positiva para un estado de ánimo alegre"
"3;Walking on Sunshine;Katrina and the Waves;Pop;ALEGRIA;Tema luminoso y animado para reforzar una emoción alegre"
"4;Fix You;Coldplay;Pop Rock;TRISTEZA;Canción emocional y esperanzadora para textos tristes"
"5;Someone Like You;Adele;Pop;TRISTEZA;Canción melancólica asociada a pérdida y tristeza"
"6;The Night We Met;Lord Huron;Indie;TRISTEZA;Tema suave e introspectivo para un tono triste"
"7;Experience;Ludovico Einaudi;Instrumental;CALMA;Canción instrumental tranquila e introspectiva"
"8;Weightless;Marconi Union;Ambient;CALMA;Tema relajante adecuado para textos calmados"
"9;River Flows in You;Yiruma;Piano;CALMA;Pieza de piano suave para un ambiente sereno"
"10;In the End;Linkin Park;Rock;TENSION;Canción intensa para textos con conflicto o tensión"
"11;Seven Nation Army;The White Stripes;Rock;TENSION;Tema potente y marcado para situaciones tensas"
"12;Believer;Imagine Dragons;Pop Rock;TENSION;Canción intensa asociada a fuerza y presión"
"13;Yellow;Coldplay;Pop Rock;NEUTRO;Canción suave de tono general y equilibrado"
"14;Viva La Vida;Coldplay;Pop Rock;NEUTRO;Tema accesible para textos sin emoción dominante clara"
"15;Here Comes The Sun;The Beatles;Pop Rock;NEUTRO;Canción equilibrada y amable para un resultado neutro"
